Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-08-10,32.3182,-86.9023,612086,11625,,,1,12483.43679,5081696,,1.899242917,84000001,USA,103640.7152,
Alaska,US,2021-08-10,61.3707,-152.4044,78441,399,,,2,10722.64864,2539899,,0.508662562,84000002,USA,347196.5498,
American Samoa,US,2021-08-10,-14.271,-170.132,0,0,,,60,0,2140,,,16,ASM,3846.084722,
Arizona,US,2021-08-10,33.7298,-111.4312,948245,18388,,,4,13027.63935,10948243,,1.939161293,84000004,USA,150414.4618,
Arkansas,US,2021-08-10,34.9697,-92.3731,405272,6322,,,5,13429.36784,3396606,,1.559939991,84000005,USA,112552.24,
California,US,2021-08-10,36.1162,-119.6816,4155117,64400,,,6,10283.69626,75404964,,1.594756205,84000006,USA,190839.5891,
Colorado,US,2021-08-10,39.0598,-105.3111,584462,6998,,,8,10149.13689,9590747,,1.19734046,84000008,USA,166542.5711,
Connecticut,US,2021-08-10,41.5978,-72.7554,359363,8296,,,9,10079.49711,9171240,,2.308529259,84000009,USA,257237.0752,
Delaware,US,2021-08-10,39.3185,-75.5071,112967,1835,,,10,11601.06556,1974047,,1.624368178,84000010,USA,202723.3498,
Diamond Princess,US,2021-08-10,,,49,0,,,88888,,,,0,84088888,USA,,
District of Columbia,US,2021-08-10,38.8974,-77.0268,51589,1149,,,11,7309.822614,1752098,,2.227218981,84000011,USA,248260.7839,
Florida,US,2021-08-10,27.7663,-81.6868,2768985,39695,,,12,12892.34988,34418460,,1.433557784,84000012,USA,160251.7993,
Georgia,US,2021-08-10,33.0406,-83.6431,1224480,21831,,,13,11532.74198,9628632,,1.782879263,84000013,USA,90687.09046,
Grand Princess,US,2021-08-10,,,103,3,,,99999,,,,2.912621359,84099999,USA,,
Guam,US,2021-08-10,13.4443,144.7937,8725,143,,,66,5312.703603,179783,,1.638968481,316,GUM,109470.9217,
Hawaii,US,2021-08-10,21.0943,-157.4983,46940,543,,,15,3315.271437,1908582,,1.15679591,84000015,USA,134799.0496,
Idaho,US,2021-08-10,44.2405,-114.4788,205033,2224,,,16,11473.16969,833841,,1.084703438,84000016,USA,46659.80253,
Illinois,US,2021-08-10,40.3495,-88.9861,1444211,25965,,,17,11397.0281,27188772,,1.797867486,84000017,USA,214560.8907,
Indiana,US,2021-08-10,39.8494,-86.2583,786272,14064,,,18,11679.23979,11366594,,1.788693989,84000018,USA,168838.744,
Iowa,US,2021-08-10,42.0115,-93.2105,382401,6193,,,19,12120.20652,1529873,,1.619504133,84000019,USA,48489.35206,
Kansas,US,2021-08-10,38.5266,-96.7265,343203,5327,,,20,11780.50152,1529696,,1.552142609,84000020,USA,52507.07613,
Kentucky,US,2021-08-10,37.6681,-84.6701,500267,7387,,,21,11197.48469,5741890,,1.476611489,84000021,USA,128520.8206,
Louisiana,US,2021-08-10,31.1695,-91.8678,590446,11260,,,22,12701.05752,7768059,,1.907032989,84000022,USA,167098.37,
Maine,US,2021-08-10,44.6939,-69.3819,71305,901,,,23,5304.594811,2439646,,1.263586004,84000023,USA,181492.6515,
Maryland,US,2021-08-10,39.0639,-76.8021,474555,9861,,,24,7849.489222,11445488,,2.077946708,84000024,USA,189316.8014,
Massachusetts,US,2021-08-10,42.2302,-71.5301,729047,18098,,,25,10577.39112,24892730,,2.482418829,84000025,USA,361156.6074,
Michigan,US,2021-08-10,43.3266,-84.5361,1021681,21228,,,26,10230.25562,14724982,,2.077752253,84000026,USA,147443.6051,
Minnesota,US,2021-08-10,45.6945,-93.9002,618906,7791,,,27,10974.22669,9811586,,1.258834136,84000027,USA,173975.6424,
Mississippi,US,2021-08-10,32.7416,-89.6787,365061,7649,,,28,12266.22054,2076870,,2.095266271,84000028,USA,69783.80451,
Missouri,US,2021-08-10,38.4561,-92.2884,709631,10275,,,29,11562.35153,6209504,,1.447935617,84000029,USA,101174.3682,
Montana,US,2021-08-10,46.9219,-110.4544,118270,1723,,,30,11065.90892,1534562,,1.456836053,84000030,USA,143580.9869,
Nebraska,US,2021-08-10,41.1254,-98.2681,231069,2290,,,31,11945.20494,3178859,,0.991045965,84000031,USA,164332.3952,
Nevada,US,2021-08-10,38.3135,-117.0554,366584,6040,,,32,11901.47512,3784808,,1.647644196,84000032,USA,122877.153,
New Hampshire,US,2021-08-10,43.4525,-71.5639,102117,1389,,,33,7510.198858,2152334,,1.360204471,84000033,USA,158293.4903,
New Jersey,US,2021-08-10,40.2989,-74.521,1050083,26650,,,34,11822.34336,14883093,,2.537894624,84000034,USA,167561.0745,
New Mexico,US,2021-08-10,34.8405,-106.2485,215098,4425,,,35,10258.25187,3862062,,2.057201834,84000035,USA,184185.8349,
New York,US,2021-08-10,42.1657,-74.9481,2178724,53750,,,36,11199.61533,62154059,,2.467040341,84000036,USA,319499.6484,
North Carolina,US,2021-08-10,35.6301,-79.8064,1086938,13759,,,37,10363.55163,13107087,,1.26584957,84000037,USA,124971.2245,
North Dakota,US,2021-08-10,47.5289,-99.784,112393,1573,,,38,14741.05781,1617391,,1.400263495,84000038,USA,212238.768,
Northern Mariana Islands,US,2021-08-10,15.0979,145.6739,183,2,,,69,331.8584071,17542,,1.092896175,580,MNP,31811.2578,
Ohio,US,2021-08-10,40.3888,-82.7649,1143599,20803,,,39,9783.464937,14251331,,1.797483209,84000039,USA,121919.8313,
Oklahoma,US,2021-08-10,35.5653,-96.9289,500311,7531,,,40,12643.78738,4249962,,1.505263726,84000040,USA,107404.4263,
Oregon,US,2021-08-10,44.572,-122.0709,230103,2903,,,41,5455.603325,5787925,,1.261608932,84000041,USA,137228.2103,
Pennsylvania,US,2021-08-10,40.5908,-77.2098,1254821,27903,,,42,9707.272831,15199867,,2.245309498,84000042,USA,118730.5113,
Puerto Rico,US,2021-08-10,18.2208,-66.5901,152796,2620,,,72,4784.303067,2526226,,1.714704573,630,PRI,79100.4398,
Rhode Island,US,2021-08-10,41.6809,-71.5118,155825,2743,,,44,14709.33893,4655135,,1.760308038,84000044,USA,439428.5801,
South Carolina,US,2021-08-10,33.8569,-80.945,643621,9981,,,45,12500.61666,7013754,,1.550757356,84000045,USA,136223.4142,
South Dakota,US,2021-08-10,44.2998,-99.4388,125599,2052,,,46,14197.44783,844197,,1.63377097,84000046,USA,95426.26029,
Tennessee,US,2021-08-10,35.7478,-86.6923,923520,12837,,,47,13523.15814,8525394,,1.390007796,84000047,USA,124837.8501,
Texas,US,2021-08-10,31.0545,-97.5635,3250897,53727,,,48,11211.58209,27621532,,1.652682321,84000048,USA,95260.1923,
Utah,US,2021-08-10,40.15,-111.8624,440497,2503,,,49,13739.94918,3752461,,0.568221804,84000049,USA,117046.4803,
Vermont,US,2021-08-10,44.0459,-72.7107,25571,262,,,50,4097.988907,1792813,,1.024598178,84000050,USA,287314.8405,
Virgin Islands,US,2021-08-10,18.3358,-64.8963,4960,40,,,78,4623.93258,150985,,0.806451613,850,VIR,140754.9316,
Virginia,US,2021-08-10,37.7693,-78.17,709319,11571,,,51,8310.203515,8074800,,1.631282963,84000051,USA,94602.33174,
Washington,US,2021-08-10,47.4009,-121.4905,495338,6177,,,53,6504.858309,8932710,,1.247027282,84000053,USA,117305.7849,
West Virginia,US,2021-08-10,38.4912,-80.9545,170199,2972,,,54,9496.933008,3195707,,1.746191223,84000054,USA,178317.2363,
Wisconsin,US,2021-08-10,44.2685,-89.6165,697781,8306,,,55,11984.35225,9417453,,1.190344822,84000055,USA,161744.2637,
Wyoming,US,2021-08-10,42.756,-107.3025,67026,786,,,56,11580.98621,830361,,1.172679259,84000056,USA,143472.6717,